id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
0,129.59,Female,Female-Mid,3,Blonde Bob,Green Eye Shadow,None,Green Eye Shadow,None,None,None,Earring,None,"[25.0, 1.6, 0.98]","[60670.0, 3880.0, 2380.0]","[1095.75, 1461.0, 1461.0]",3.0,60670.00,25.00,1095.75,1463.2568925534656,365.25
1,84.74,Male,Male-Dark,2,Mohawk,None,None,None,None,Smile,None,None,None,"[60.0, 31.0, 0.42]","[145610.0, 75230.0, 1020.0]","[365.25, 730.5, 1461.0]",3.0,145610.00,60.00,365.25,93.55053103109091,365.25
2,74.86,Female,Female-Light,1,Wild Hair,None,None,None,None,None,None,None,None,,,,,,,,,
3,88.45,Male,Male-Dark,3,Wild Hair,Nerd Glasses,None,Nerd Glasses,Pipe,None,None,None,None,,,,,,,,,
4,98.82,Male,Male-Mid,4,Wild Hair,Big Shades,Goat,Big Shades,None,None,None,Earring,None,,,,,,,,,
5,130.85,Female,Female-Mid,3,Half Shaved,Purple Eye Shadow,None,Purple Eye Shadow,None,None,None,Earring,None,,,,,,,,,
6,81.52,Male,Male-Mid,1,Do-rag,None,None,None,None,None,None,None,None,,,,,,,,,
7,201.04,Female,Female-Mid,3,Wild White Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,None,Spots,None,None,,,,,,,,,
8,76.55,Male,Male-Dark,2,Messy Hair,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
9,182.75,Male,Male-Mid,3,Police Cap,None,Big Beard,None,None,None,None,None,Clown Nose,,,,,,,,,
10,83.34,Female,Female-Dark,2,Mohawk,Blue Eye Shadow,None,Blue Eye Shadow,None,None,None,None,None,,,,,,,,,
11,130.53,Female,Female-Mid,3,Straight Hair Dark,Clown Eyes Green,None,Clown Eyes Green,None,Black Lipstick,None,None,None,,,,,,,,,
12,117.06,Female,Female-Dark,2,Blonde Short,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
13,125.14,Female,Female-Light,3,Straight Hair Blonde,Big Shades,None,Big Shades,None,Black Lipstick,None,None,None,,,,,,,,,
