id,RarityScore,AttributeCount,Background,Fur,Skin,Head,Mouth,Teeth,Clothing,EyeWear,PriceSellSOL,TimeInDays,TimesSold,LastSOLPrice,TimePurchase,LastPriceSOL
1,1972,3,Yellow,Brown , Yellow,Fishing Hat,Ape Force 1's,No Traits,Japanese Uniform,No Traits,,,,,,
2,1352,4,Blue,Red , Peach,Captain's Hat,Corndog,No Traits,Leather Jacket,Aviator Glasses,,,,,,
3,731,2,Black,Blue , Blue,No Traits,Soda,No Traits,No Traits,Ape Vipers,"['29.00', '47.60']","[152.185, 243.496]",2.0,29.00,152.19,29.0
4,1177,3,Red,Red , Blue,Explorer's Hat,Grilled Cheese,No Traits,Denim Vest,No Traits,,,,,,
5,1174,3,Green,Green , Peach,Captain's Hat,Banana,No Traits,Leather Jacket,No Traits,"['81.43', '56.52']","[243.496, 243.496]",2.0,81.43,243.5,81.43
6,1025,3,Yellow,Brown , Peach,Sailor's Hat,Bubblegum,No Traits,Leather Jacket,No Traits,['61.50'],[8.0],1.0,61.50,8.0,61.5
7,2876,3,Yellow,Leopard,Leopard,The Croc Hunter,Hotdog,No Traits,No Traits,Heart Glasses,['287.40'],[243.496],1.0,287.40,243.5,287.4
8,1617,5,Green,Brown , Peach,Conical Hat,Grilled Cheese,Wooden Tooth,Black T-Shirt,Shutter Shades,"['62.50', '35.00', '124.54', '96.76', '25.39']","[1.0, 91.311, 243.496, 243.496, 243.496]",5.0,62.50,1.0,62.5
9,1147,4,Purple,Purple , Peach,Sailor's Hat,Grilled Cheese,No Traits,Denim Vest,Ape Vipers,"['28.42', '21.08']","[213.059, 243.496]",2.0,28.42,213.06,28.42
10,8350,3,Black,Black , Peach,The Artist,Crayons,No Traits,Turtleneck Suit,No Traits,,,,,,
11,1641,4,Teal,Blue , Peach,Football Helmet,Corndog,Wooden Tooth,Police Uniform,No Traits,"['28.00', '106.34', '27.78']","[243.496, 243.496, 243.496]",3.0,28.00,243.5,28.0
12,1495,3,Blue,Blue , Peach,Explorer's Hat,Banana,No Traits,Suit,No Traits,,,,,,
13,1110,2,Blue,Albino , Blue,Fireman's Helmet,No Traits,No Traits,Black T-Shirt,No Traits,,,,,,
14,992,3,Blue,Brown , Yellow,Conical Hat,Dirty Fiat,No Traits,Striped T-Shirt,No Traits,['53.50'],[182.622],1.0,53.50,182.62,53.5
15,1768,3,Green,Green , Peach,Conical Hat,PV-Ape Glue,No Traits,Overalls,No Traits,"['100.59', '33.53']","[243.496, 243.496]",2.0,100.59,243.5,100.59
16,731,2,Green,Green , Green,Bucket Hat,Pizza,No Traits,No Traits,No Traits,['19.16'],[243.496],1.0,19.16,243.5,19.16
17,999,3,Red,Red , Blue,Baseball Cap,Pipe,No Traits,Leather Jacket,No Traits,['125.00'],[30.437],1.0,125.00,30.44,125.0
18,872,2,Purple,Purple , Purple,Football Helmet,Soda,No Traits,No Traits,No Traits,['38.00'],[182.622],1.0,38.00,182.62,38.0
19,2008,3,Green,Red , Peach,Beanie,Sushi,No Traits,NB-Ape Yellow,No Traits,"['167.65', '38.32', '27.78', '23.95']","[243.496, 243.496, 243.496, 243.496]",4.0,167.65,243.5,167.65
20,1500,3,Black,Black , Peach,Umbrella Hat,Drool,No Traits,No Traits,Wayfarer Glasses,"['87.00', '76.64']","[213.059, 243.496]",2.0,87.00,213.06,87.0
21,726,3,Red,Red , Peach,No Traits,Sandwich,Wooden Tooth,Tie-Dye T-Shirt,No Traits,['8.57'],[243.496],1.0,8.57,243.5,8.57
22,856,2,Purple,Purple , Purple,Bucket Hat,No Traits,No Traits,Overalls,No Traits,,,,,,
23,850,3,Green,Green , Green,Sailor's Hat,Grilled Cheese,No Traits,No Traits,Aviator Glasses,"['39.40', '36.90', '43.00', '76.00', '69.99', '17.72']","[121.748, 121.748, 182.622, 243.496, 243.496, 243.496]",6.0,39.40,121.75,39.4
24,712,2,Green,Green , Peach,No Traits,Burger,No Traits,Hoodie,No Traits,"['49.00', '49.50']","[30.437, 30.437]",2.0,49.00,30.44,49.0
25,1817,2,Blue,Blue , Blue,Beer Hat,No Traits,No Traits,Striped T-Shirt,No Traits,,,,,,
26,1052,3,Red,Red , Blue,Sun Hat,Ape-le Juice,No Traits,No Traits,Ape Vipers,"['70.00', '20.12']","[213.059, 243.496]",2.0,70.00,213.06,70.0
27,1939,1,Blue,Albino , Blue,Beer Hat,No Traits,No Traits,No Traits,No Traits,"['311.35', '143.70', '102.51', '47.90']","[243.496, 243.496, 243.496, 243.496]",4.0,311.35,243.5,311.35
