id,type,trait_count,trait1,trait2,trait3,trait4,trait5,trait6,trait7,trait8,trait9,trait10,trait11,trait12,Rarity,TimesSold,LastPrice,TimeInDays
0,Frog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6916,,,
1,Frog,4,Chestplate,Covered Helmet,Revolver,Sword,,,,,,,,,2905,,,
2,Alien,4,Chestplate,Belt,Ski Goggles,Wool Boots,,,,,,,,,5855,,,
3,Frog,3,Chestplate,Belt,SPO,,,,,,,,,,217,,,
4,Ape,5,Special Background,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,4794,,,
5,Ape,1,Belt,,,,,,,,,,,,2622,,,
6,Tiger,4,Chestplate,Belt,Snorkel,Watch,,,,,,,,,5384,,,
7,Robot,2,Belt,Wool Boots,,,,,,,,,,,7425,,,
8,Ape,1,,,,,,,,,,,,,46,,,
9,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,3.0,6300.0,24.0
10,Frog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7734,,,
11,Dog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9649,,,
12,Ape,4,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,,6476,,,
13,Ape,4,Special Background,Belt,Covered Helmet,Wool Boots,,,,,,,,,7186,,,
14,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,,,
15,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,,,
16,Frog,5,Star Suit,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,3072,,,
17,Dog,3,Belt,Sun Glasses,Watch,,,,,,,,,,6112,2.0,6600.0,40.0
18,Bear,4,Star Suit,Chestplate,Belt,Bazooka,,,,,,,,,3900,,,
19,Bear,3,Covered Helmet,Sun Glasses,Wool Boots,,,,,,,,,,5104,,,
20,Cat,3,Belt,Covered Helmet,Sun Glasses,,,,,,,,,,7668,,,
21,Tiger,5,Chestplate,Belt,Jetpack,Sun Glasses,Amulet,,,,,,,,2138,,,
22,Parrot,4,Special Background,Chestplate,Belt,Pistol,,,,,,,,,3573,,,
23,Parrot,4,Amulet,Belt,Covered Helmet,Anchor,,,,,,,,,2259,,,
24,Dog,5,Chestplate,Belt,Covered Helmet,X-Ray,Harpoon,,,,,,,,2866,,,
25,Arcane,5,Special Background,Star Suit,Chestplate,Belt,Binoculars,,,,,,,,1136,,,
26,Lion,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,5212,,,
27,Elephant,3,Chestplate,Belt,SPO,,,,,,,,,,83,,,
28,Frog,5,Chestplate,Amulet,Belt,Umbrella,Covered Helmet,,,,,,,,2514,,,
29,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
30,Tiger,3,Chestplate,Belt,Cardano,,,,,,,,,,5927,,,
31,Cat,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9487,,,
32,Robot,4,Star Suit,Chestplate,Belt,Arc,,,,,,,,,3954,,,
33,Ape,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9574,,,
34,Alien,6,Camo Suit,Chestplate,Belt,Jetpack,Covered Helmet,Flowers,,,,,,,1194,1.0,890.0,267.0
35,Bear,4,Chestplate,Eye Patch,Flag,Axe,,,,,,,,,1545,,,
36,Robot,4,Belt,Covered Helmet,Sun Glasses,Amulet,,,,,,,,,5192,,,
37,Robot,4,Belt,Covered Helmet,Flag,Axe,,,,,,,,,2972,1.0,3450.0,260.0
38,Dog,7,Star Suit,Chestplate,Amulet,Belt,Backpack,Covered Helmet,Eye Patch,,,,,,239,,,
39,Dog,1,Wine,,,,,,,,,,,,940,1.0,5000.0,259.0
40,Cat,4,Star Suit,Chestplate,Belt,Snorkel,,,,,,,,,7153,,,
41,Lion,4,Camo Suit,Belt,Covered Helmet,Flag,,,,,,,,,4177,,,
42,Ape,6,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,Anchor,,,,,,,1239,,,
43,Tiger,6,Special Background,Star Suit,Chestplate,Belt,Sword,Amulet,,,,,,,1301,,,
44,Cat,3,Chestplate,Belt,Pistol,,,,,,,,,,7110,,,
45,Cat,4,Chestplate,Belt,Backpack,Sun Glasses,,,,,,,,,4284,,,
46,Bear,6,Chestplate,Belt,Backpack,Covered Helmet,Wool Boots,Pistol,,,,,,,986,1.0,6995.0,256.0
47,Arcane,4,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,,4837,1.0,5700.0,235.0
48,Frog,3,Belt,Covered Helmet,Jo-Jo,,,,,,,,,,2855,,,
49,Frog,2,Chestplate,Belt,,,,,,,,,,,6242,,,
50,Robot,4,Star Suit,Chestplate,Belt,Cardano,,,,,,,,,5683,,,
51,Ape,4,Chestplate,Belt,Covered Helmet,Axe,,,,,,,,,5542,,,
52,Cat,5,Star Suit,Chestplate,Belt,Covered Helmet,Arc,,,,,,,,3503,,,
53,Alien,6,Chestplate,Amulet,Belt,Covered Helmet,X-Ray,Blaster,,,,,,,710,,,
54,Parrot,4,Chestplate,Jetpack,Covered Helmet,Pistol,,,,,,,,,2472,,,
55,Robot,3,Chestplate,Belt,Harpoon,,,,,,,,,,5271,2.0,3999.0,214.0
56,Dog,2,Belt,Covered Helmet,,,,,,,,,,,8991,,,
57,Arcane,3,Chestplate,Belt,VR,,,,,,,,,,5984,,,
58,Ape,6,Camo Suit,Chestplate,Belt,Covered Helmet,Watch,Cardano,,,,,,,1913,,,
59,Ape,5,Star Suit,Chestplate,Amulet,Belt,Arc,,,,,,,,2485,2.0,5777.0,125.0
60,Elephant,3,Chestplate,Belt,Blaster,,,,,,,,,,151,,,
61,Dog,3,Star Suit,Chestplate,Belt,,,,,,,,,,9663,,,
62,Parrot,2,Belt,Flowers,,,,,,,,,,,3530,,,
63,Cat,4,Chestplate,Belt,Backpack,Eye Patch,,,,,,,,,4461,2.0,4420.0,143.0
64,Tiger,1,Belt,,,,,,,,,,,,2280,,,
65,Tiger,1,Chestplate,,,,,,,,,,,,2261,1.0,6500.0,6.0
66,Bear,3,Chestplate,Belt,X-Ray,,,,,,,,,,6700,1.0,6750.0,40.0
67,Arcane,2,Chestplate,Belt,,,,,,,,,,,7025,,,
68,Arcane,2,Belt,Binoculars,,,,,,,,,,,1625,1.0,8500.0,55.0
69,Cat,1,Belt,,,,,,,,,,,,2747,,,
70,Tiger,5,Special Background,Chestplate,Amulet,Belt,Snorkel,,,,,,,,3258,,,
71,Parrot,1,Belt,,,,,,,,,,,,1656,2.0,7500.0,213.0
72,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
73,Frog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6916,,,
74,Cat,4,Chestplate,Amulet,Belt,Axe,,,,,,,,,4406,,,
75,Alien,5,Chestplate,Belt,Covered Helmet,Ski Goggles,Revolver,,,,,,,,3770,,,
76,Arcane,2,Belt,Covered Helmet,,,,,,,,,,,6930,1.0,3999.0,214.0
77,Bear,4,Star Suit,Chestplate,Belt,Flowers,,,,,,,,,4955,,,
78,Cat,6,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,Snorkel,,,,,,,2132,,,
79,Dog,5,Star Suit,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,7385,,,
80,Alien,2,Belt,Covered Helmet,,,,,,,,,,,8723,2.0,5100.0,116.0
81,Ape,3,Chestplate,Belt,Ski Goggles,,,,,,,,,,7848,1.0,3799.0,239.0
82,Parrot,3,Star Suit,Chestplate,Belt,,,,,,,,,,7440,,,
83,Tiger,1,Belt,,,,,,,,,,,,2280,2.0,9550.0,94.0
84,Dog,4,Special Background,Chestplate,Belt,Covered Helmet,,,,,,,,,8536,,,
85,Arcane,2,Chestplate,Covered Helmet,,,,,,,,,,,6879,3.0,5900.0,21.0
86,Cat,6,Special Background,Camo Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,2146,,,
87,Elephant,2,Chestplate,Belt,,,,,,,,,,,268,,,
88,Ape,2,Special Background,Chestplate,,,,,,,,,,,7401,,,
89,Cat,3,Chestplate,Belt,Candle,,,,,,,,,,3466,2.0,6500.0,120.0
